mass_A
t	x	y
4.210000000E0	-4.568952988E-1	1.849253727E-1
4.220000000E0	-4.599694994E-1	1.877769695E-1
4.230000000E0	-4.623141114E-1	1.899252828E-1
4.240000000E0	-4.643459436E-1	1.920306961E-1
4.250000000E0	-4.660613233E-1	1.940417792E-1
4.260000000E0	-4.679709933E-1	1.955909460E-1
4.270000000E0	-4.694662533E-1	1.969291536E-1
4.280000000E0	-4.702466173E-1	1.975429997E-1
4.290000000E0	-4.710599626E-1	1.984235774E-1
4.300000000E0	-4.712093610E-1	1.987186270E-1
4.310000000E0	-4.712092907E-1	1.987653471E-1
4.320000000E0	-4.711155393E-1	1.986661150E-1
4.330000000E0	-4.706059288E-1	1.978922539E-1
4.340000000E0	-4.697135725E-1	1.968492287E-1
4.350000000E0	-4.682727400E-1	1.955259216E-1
4.360000000E0	-4.667093943E-1	1.940125936E-1
4.370000000E0	-4.648923579E-1	1.920405474E-1
4.380000000E0	-4.625462621E-1	1.899404900E-1
4.390000000E0	-4.599908396E-1	1.875828618E-1
4.400000000E0	-4.565417541E-1	1.848533418E-1
4.410000000E0	-4.534220575E-1	1.818318279E-1
4.420000000E0	-4.494776229E-1	1.785618042E-1
4.430000000E0	-4.452986535E-1	1.747877550E-1
4.440000000E0	-4.408455375E-1	1.710417167E-1
4.450000000E0	-4.359138516E-1	1.669206548E-1
4.460000000E0	-4.311251212E-1	1.630384424E-1
4.470000000E0	-4.254874928E-1	1.586044292E-1
4.480000000E0	-4.196253623E-1	1.539999420E-1
4.490000000E0	-4.135521512E-1	1.493511748E-1
4.500000000E0	-4.067403720E-1	1.443722062E-1
4.510000000E0	-3.994424519E-1	1.390227819E-1
4.520000000E0	-3.921424687E-1	1.338448999E-1
4.530000000E0	-3.843207678E-1	1.288868897E-1
4.540000000E0	-3.766599023E-1	1.239178611E-1
4.550000000E0	-3.680064355E-1	1.184851980E-1
4.560000000E0	-3.594339860E-1	1.132064516E-1
4.570000000E0	-3.500373599E-1	1.077024014E-1
4.580000000E0	-3.402704070E-1	1.025268432E-1
4.590000000E0	-3.306022352E-1	9.743501288E-2
4.600000000E0	-3.200848177E-1	9.212535484E-2
4.610000000E0	-3.096174236E-1	8.686623827E-2
4.620000000E0	-2.983223704E-1	8.197061112E-2
4.630000000E0	-2.863247734E-1	7.756520918E-2
4.640000000E0	-2.753002627E-1	7.167355797E-2
4.650000000E0	-2.633815453E-1	6.675228944E-2
4.660000000E0	-2.509974495E-1	6.206463036E-2
4.670000000E0	-2.387291315E-1	5.788287079E-2
4.680000000E0	-2.257497619E-1	5.362901823E-2
4.690000000E0	-2.127371635E-1	5.000214677E-2
4.700000000E0	-1.997313425E-1	4.634154540E-2
4.710000000E0	-1.862065685E-1	4.279412568E-2
4.720000000E0	-1.727323042E-1	3.940338571E-2
4.730000000E0	-1.591015221E-1	3.652784582E-2
4.740000000E0	-1.449116360E-1	3.367358412E-2
4.750000000E0	-1.311010199E-1	3.080813312E-2
4.760000000E0	-1.164138004E-1	2.855970684E-2
4.770000000E0	-1.022880490E-1	2.797951619E-2
4.780000000E0	-8.804930887E-2	2.486339887E-2
4.790000000E0	-7.315938030E-2	2.301397352E-2
4.800000000E0	-5.845510031E-2	2.179870552E-2
4.810000000E0	-4.430621540E-2	2.081525775E-2
4.820000000E0	-2.951976802E-2	2.032386543E-2
4.830000000E0	-1.564742936E-2	2.001829140E-2
4.840000000E0	-1.096007820E-3	1.975394147E-2
4.850000000E0	1.316717576E-2	1.970834278E-2
4.860000000E0	2.750632548E-2	2.045826796E-2
4.870000000E0	4.178964318E-2	2.134153068E-2
4.880000000E0	5.615576793E-2	2.208436678E-2
4.890000000E0	6.988817341E-2	2.384508592E-2
4.900000000E0	8.439044691E-2	2.620229128E-2
4.910000000E0	9.809144769E-2	2.715661085E-2
4.920000000E0	1.119226703E-1	2.932644710E-2
4.930000000E0	1.253783827E-1	3.182301158E-2
4.940000000E0	1.388508410E-1	3.455671991E-2
4.950000000E0	1.520089864E-1	3.734535416E-2
4.960000000E0	1.647788790E-1	4.053708697E-2
4.970000000E0	1.773217343E-1	4.409175402E-2
4.980000000E0	1.897375933E-1	4.749135998E-2
4.990000000E0	2.021350109E-1	5.113743459E-2
5.000000000E0	2.139868458E-1	5.513297589E-2
5.010000000E0	2.252935351E-1	5.932157238E-2
5.020000000E0	2.365940610E-1	6.329294802E-2
5.030000000E0	2.479181464E-1	6.767553548E-2
5.040000000E0	2.582295129E-1	7.205489176E-2
5.050000000E0	2.690363539E-1	7.654922274E-2
5.060000000E0	2.784744372E-1	8.069906423E-2
5.070000000E0	2.885781871E-1	8.532479011E-2
5.080000000E0	2.977921856E-1	8.955127796E-2
5.090000000E0	3.068491582E-1	9.387572652E-2
5.100000000E0	3.155835791E-1	9.840418117E-2
5.110000000E0	3.238372999E-1	1.025591080E-1
5.120000000E0	3.317501188E-1	1.068543583E-1
5.130000000E0	3.392116656E-1	1.110829273E-1
5.140000000E0	3.465004402E-1	1.152935980E-1
5.150000000E0	3.529844307E-1	1.193804726E-1
5.160000000E0	3.590530071E-1	1.231791635E-1
5.170000000E0	3.650320235E-1	1.269242132E-1
5.180000000E0	3.708587977E-1	1.309908974E-1
5.190000000E0	3.763047569E-1	1.344197815E-1
5.200000000E0	3.814756195E-1	1.382564453E-1
5.210000000E0	3.861894474E-1	1.413726589E-1
